epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1419,1.17992,1.66387,1.25981,0.65418,0.53236,0.61798,0.45861,1.0748,1.09415,1.11662,1.785e-05,1.785e-05,1.785e-05
2,18.7612,1.2301,1.63849,1.26261,0.63527,0.58385,0.63697,0.4741,1.06463,1.05523,1.11107,3.61596e-05,3.61596e-05,3.61596e-05
3,27.6163,1.18698,1.47101,1.2417,0.64738,0.61206,0.65299,0.48742,1.05419,1.02674,1.10506,5.37152e-05,5.37152e-05,5.37152e-05
4,34.8275,1.16803,1.40289,1.24088,0.701,0.61604,0.67449,0.50418,1.04388,1.00619,1.09798,7.05168e-05,7.05168e-05,7.05168e-05
5,42.4575,1.10464,1.27029,1.21122,0.71623,0.6402,0.68047,0.51118,1.03293,0.98418,1.09215,8.65644e-05,8.65644e-05,8.65644e-05
6,50.5513,1.11842,1.20401,1.21903,0.73133,0.64347,0.69219,0.52409,1.02677,0.96166,1.08864,0.000101858,0.000101858,0.000101858
7,59.1621,1.1359,1.21313,1.189,0.70226,0.66323,0.70336,0.53372,1.02425,0.94102,1.08815,0.000104863,0.000104863,0.000104863
8,67.0551,1.13229,1.24152,1.18624,0.70892,0.65982,0.70861,0.54415,1.01401,0.91641,1.082,0.000102507,0.000102507,0.000102507
9,75.029,1.11225,1.20053,1.19098,0.74913,0.64115,0.71636,0.54743,1.01277,0.90214,1.07969,0.00010015,0.00010015,0.00010015
10,82.8446,1.13775,1.22681,1.20513,0.75782,0.65128,0.72302,0.55333,1.00818,0.88422,1.07831,9.77942e-05,9.77942e-05,9.77942e-05
11,91.3359,1.12004,1.17145,1.20355,0.78514,0.65115,0.73586,0.55879,0.99378,0.86822,1.07139,9.5438e-05,9.5438e-05,9.5438e-05
12,99.8754,1.04328,1.18881,1.15767,0.80448,0.64259,0.74349,0.56511,0.98147,0.8487,1.06213,9.30818e-05,9.30818e-05,9.30818e-05
13,108.606,1.00095,1.0824,1.14209,0.81374,0.64809,0.7572,0.57453,0.97553,0.829,1.05635,9.07256e-05,9.07256e-05,9.07256e-05
14,116.936,1.05318,1.17499,1.18778,0.81653,0.66797,0.7761,0.58789,0.97365,0.8155,1.05273,8.83694e-05,8.83694e-05,8.83694e-05
15,124.736,1.0592,1.08111,1.15104,0.81967,0.6779,0.77905,0.59297,0.9625,0.80703,1.04623,8.60132e-05,8.60132e-05,8.60132e-05
16,133.711,1.05848,1.06958,1.16126,0.8294,0.68969,0.7917,0.59642,0.95739,0.7986,1.04268,8.3657e-05,8.3657e-05,8.3657e-05
17,142.177,1.05842,1.04836,1.15478,0.83618,0.68769,0.79931,0.60273,0.94737,0.79221,1.03874,8.13008e-05,8.13008e-05,8.13008e-05
18,150.667,1.05381,1.03804,1.1623,0.82861,0.69577,0.79684,0.6077,0.93594,0.77774,1.03347,7.89446e-05,7.89446e-05,7.89446e-05
19,159.018,1.04236,1.02339,1.16533,0.82533,0.69713,0.79953,0.61197,0.92723,0.76671,1.02765,7.65884e-05,7.65884e-05,7.65884e-05
20,167.711,1.00737,1.04461,1.13939,0.79619,0.7287,0.79825,0.61106,0.91514,0.75538,1.0229,7.42322e-05,7.42322e-05,7.42322e-05
21,175.939,1.04764,1.07172,1.1414,0.78713,0.73788,0.80173,0.61392,0.91147,0.75371,1.01964,7.1876e-05,7.1876e-05,7.1876e-05
22,183.816,1.03683,0.99338,1.13464,0.79918,0.73784,0.80729,0.61687,0.90488,0.74631,1.017,6.95198e-05,6.95198e-05,6.95198e-05
23,192.769,1.02335,0.99467,1.12672,0.79679,0.72774,0.80589,0.62092,0.90004,0.73515,1.01728,6.71636e-05,6.71636e-05,6.71636e-05
24,201.72,1.02556,0.98532,1.14822,0.80928,0.72768,0.81164,0.62512,0.893,0.72973,1.0127,6.48074e-05,6.48074e-05,6.48074e-05
25,209.791,0.97603,0.97977,1.12459,0.79656,0.72836,0.82598,0.62888,0.88846,0.7206,1.01071,6.24512e-05,6.24512e-05,6.24512e-05
26,218.316,0.92259,0.91978,1.10387,0.79302,0.73409,0.8275,0.63176,0.88523,0.71265,1.00827,6.0095e-05,6.0095e-05,6.0095e-05
27,226.946,1.00049,1.00104,1.13254,0.78523,0.73608,0.83142,0.63523,0.88334,0.70606,1.00724,5.77388e-05,5.77388e-05,5.77388e-05
